client,desc,combined,service
Epsten Group,"GSU – Science Park Phase III Cx – Atlanta, GA ","Epsten Group GSU – Science Park Phase III Cx – Atlanta, GA ",Commissioning
Epsten Group,"GSU – Turner Field Retro Cx – Atlanta, GA ","Epsten Group GSU – Turner Field Retro Cx – Atlanta, GA ",Commissioning
Epsten Group,GSU Classroom South Renovation CxA,Epsten Group GSU Classroom South Renovation CxA,Commissioning
Epsten Group,GTRI – Cobb South Campus Design,Epsten Group GTRI – Cobb South Campus Design,Design
Epsten Group,"GTRI – South Cobb Campus Cx – Marietta, GA ","Epsten Group GTRI – South Cobb Campus Cx – Marietta, GA ",Commissioning
Epsten Group,Healthcare Building - Suwanee GA,Epsten Group Healthcare Building - Suwanee GA,Design
Epsten Group,J-311 - Augusta University Electrical Cx,Epsten Group J-311 - Augusta University Electrical Cx,Commissioning
Epsten Group,"J313 – GA Southern Center for Eng. & Research Cx – Statesboro, GA ","Epsten Group J313 – GA Southern Center for Eng. & Research Cx – Statesboro, GA ",Commissioning
Epsten Group,"KSU – Kennesaw State University – Kennesaw, GA ","Epsten Group KSU – Kennesaw State University – Kennesaw, GA ",Commissioning
Epsten Group,Norfolk Southern - Tucker Data Center Elec Cx,Epsten Group Norfolk Southern - Tucker Data Center Elec Cx,Commissioning
Epsten Group,"NS - Datacenter Retro Cx Support - Atlanta, GA ","Epsten Group NS - Datacenter Retro Cx Support - Atlanta, GA ",Commissioning
Epsten Group,Quick Start Regional Training Center CxA,Epsten Group Quick Start Regional Training Center CxA,Commissioning
Epsten Group,Riverdale Fire Station #2 Renovation ,Epsten Group Riverdale Fire Station #2 Renovation ,Design
Epsten Group,Southern Crescent - Industrial Tech Building Cx ,Epsten Group Southern Crescent - Industrial Tech Building Cx ,Commissioning
Epsten Group,"TCSG – Whitfield Murray Tech College Cx – Dalton, GA ","Epsten Group TCSG – Whitfield Murray Tech College Cx – Dalton, GA ",Cx
Epsten Group,UA UMC / SHC Heated Air Curtains,Epsten Group UA UMC / SHC Heated Air Curtains,Design
Epsten Group,"UGA – STEM Facility Expansion Cx – Athens, GA ","Epsten Group UGA – STEM Facility Expansion Cx – Athens, GA ",Commissioning
Epsten Group,UNG Convocation Center CxA,Epsten Group UNG Convocation Center CxA,Commissioning
Epsten Group,University of Alabama RetroCx,Epsten Group University of Alabama RetroCx,Commissioning
Epsten Group,"US Army – Fort Benning Cx – Columbus, GA ","Epsten Group US Army – Fort Benning Cx – Columbus, GA ",Commissioning
Epsten Group,Wal-Mart Site Audits  – Southeast ,Epsten Group Wal-Mart Site Audits  – Southeast ,Audit
Epsten Group,"Wellstar Cherokee Health Park - Holly Springs, GA","Epsten Group Wellstar Cherokee Health Park - Holly Springs, GA",Commissioning
Epsten Group,Wellstar Development Center Cx,Epsten Group Wellstar Development Center Cx,Commissioning
Epsten Group,Zoo Atlanta - Cyclorama / Elephant Barn,Epsten Group Zoo Atlanta - Cyclorama / Elephant Barn,Commissioning
Epsten Group,GT – Living Building Challenge CxA Support ,Epsten Group GT – Living Building Challenge CxA Support ,Commissioning
Equinix,Equinix – NY4 STS and PDU Cx,Equinix Equinix – NY4 STS and PDU Cx,Commissioning
Equinix,EU Cx ,Equinix EU Cx ,Commissioning
Equinix,NY1 & NY2 Generator Gear PLC Replacement Cx,Equinix NY1 & NY2 Generator Gear PLC Replacement Cx,Commissioning
Equinix,NY1 BMS System Commissioning,Equinix NY1 BMS System Commissioning,Commissioning
Equinix,NY2 - Additional Power Cx of STSs / PDUs,Equinix NY2 - Additional Power Cx of STSs / PDUs,Commissioning
Equinix,NY2 - STS Replacement Cx,Equinix NY2 - STS Replacement Cx,Commissioning
Equinix,NY2 STS / PDU Cx,Equinix NY2 STS / PDU Cx,Commissioning
Equinix,NY4 - STS / PDU Commissioning,Equinix NY4 - STS / PDU Commissioning,Commissioning
Equinix,NY7 STS / PDU Commissioning,Equinix NY7 STS / PDU Commissioning,Commissioning
Equinix,San Jose,Equinix San Jose,Design / Commissioning
Equinix,AM1.3,Equinix AM1.3,Commissioning
Equinix,Equinix NY4 - STS / PDU Cx,Equinix Equinix NY4 - STS / PDU Cx,Commissioning
Equinix,NY2IBX Facility – Power Add - Cx,Equinix NY2IBX Facility – Power Add - Cx,Commissioning
Equinix,NY4 Cage 100 - STS / PDU Cx,Equinix NY4 Cage 100 - STS / PDU Cx,Commissioning
"Facebook, Inc.",Alabama DC,"Facebook, Inc. Alabama DC",Design / Commissioning
"Facebook, Inc.","Ashburn, VA - ASH6 Expansion 2017 Commissioning","Facebook, Inc. Ashburn, VA - ASH6 Expansion 2017 Commissioning",Commissioning
"Facebook, Inc.",ATN 1&2 - UPS Expansion Cx,"Facebook, Inc. ATN 1&2 - UPS Expansion Cx",Commissioning
"Facebook, Inc.",ATN Tape Cabinets Cx,"Facebook, Inc. ATN Tape Cabinets Cx",Commissioning
"Facebook, Inc.",ATN UPS Upgrade Cx,"Facebook, Inc. ATN UPS Upgrade Cx",Commissioning
"Facebook, Inc.",ATN1&2 HMD-11C Refeed & DX Upgrade,"Facebook, Inc. ATN1&2 HMD-11C Refeed & DX Upgrade",Commissioning
"Facebook, Inc.",ATN1B – Row Reserve Loop Cx,"Facebook, Inc. ATN1B – Row Reserve Loop Cx",Commissioning
"Facebook, Inc.","CLN1 - Clonee, Ireland - Row Reserve Loop Oversight","Facebook, Inc. CLN1 - Clonee, Ireland - Row Reserve Loop Oversight",Commissioning
"Facebook, Inc.","F16 Cx –  ATN3, FRC2","Facebook, Inc. F16 Cx –  ATN3, FRC2",Commissioning
"Facebook, Inc.",F16 Cx –  FTW2,"Facebook, Inc. F16 Cx –  FTW2",Commissioning
"Facebook, Inc.",F16 Cx – FTW1,"Facebook, Inc. F16 Cx – FTW1",Commissioning
"Facebook, Inc.",F16 Cx – PRN3,"Facebook, Inc. F16 Cx – PRN3",Commissioning
"Facebook, Inc.","Forest City, NC - FRC 3B Row Conversion Cx","Facebook, Inc. Forest City, NC - FRC 3B Row Conversion Cx",Commissioning
"Facebook, Inc.",FRC - CRAC Unit Troubleshooting,"Facebook, Inc. FRC - CRAC Unit Troubleshooting",Commissioning
"Facebook, Inc.",FRC - Row Reserve Loop Cx,"Facebook, Inc. FRC - Row Reserve Loop Cx",Commissioning
"Facebook, Inc.",FRC Water Filtration Skid Design ,"Facebook, Inc. FRC Water Filtration Skid Design ",Design
"Facebook, Inc.",FRC1 - MDF Upgrade Cx,"Facebook, Inc. FRC1 - MDF Upgrade Cx",Commissioning
"Facebook, Inc.",FRC1 1B 08-28 Retrofit Cx Services,"Facebook, Inc. FRC1 1B 08-28 Retrofit Cx Services",Commissioning
"Facebook, Inc.",FRC1 DX Unit Re-Feed,"Facebook, Inc. FRC1 DX Unit Re-Feed",Commissioning
"Facebook, Inc.",FRC3 BDF Upgrade Cx,"Facebook, Inc. FRC3 BDF Upgrade Cx",Commissioning
"Facebook, Inc.",FRC3A Row Conversion,"Facebook, Inc. FRC3A Row Conversion",Commissioning
"Facebook, Inc.",FRC3D Row Reserve Loop Cx,"Facebook, Inc. FRC3D Row Reserve Loop Cx",Commissioning
"Facebook, Inc.",GA - 90MW build,"Facebook, Inc. GA - 90MW build",Design / Commissioning
"Facebook, Inc.",LLA1-AB,"Facebook, Inc. LLA1-AB",Commissioning
"Facebook, Inc.",New Data Center Multiple Locations,"Facebook, Inc. New Data Center Multiple Locations",Commissioning
"Facebook, Inc.",VLL1 Commissioning,"Facebook, Inc. VLL1 Commissioning",Commissioning
"Facebook, Inc.",FRC1 Secure Cage Retrofit Cx,"Facebook, Inc. FRC1 Secure Cage Retrofit Cx",Commissioning
"Facebook, Inc.",FRC1.18 Row Conversion – Cx ,"Facebook, Inc. FRC1.18 Row Conversion – Cx ",Commissioning
"Facebook, Inc.",FRC3D Row Conversion Cx,"Facebook, Inc. FRC3D Row Conversion Cx",Commissioning
Fairlead Commercial Real Estate,ABBC Audit 34 Peachtree Street,Fairlead Commercial Real Estate ABBC Audit 34 Peachtree Street,Audit
Faithful+Gould,Faithful+Gould LL87 Hotel,Faithful+Gould Faithful+Gould LL87 Hotel,Commissioning
Faithful+Gould,Schlumberger ALS Facility,Faithful+Gould Schlumberger ALS Facility,Commissioning
Federal Reserve Bank of Richmond,Electrical Distribution System Commissioning,Federal Reserve Bank of Richmond Electrical Distribution System Commissioning,Commissioning
Federal Reserve Bank of Richmond,Federal Reserve Bank of Richmond,Federal Reserve Bank of Richmond Federal Reserve Bank of Richmond,Commissioning
Fertility Institute of NY & NJ,Clinic HVAC Functional Survey,Fertility Institute of NY & NJ Clinic HVAC Functional Survey,Audit
First Gulf,First Gulf - 1401 Lawrence - Peer Review / PL,First Gulf First Gulf - 1401 Lawrence - Peer Review / PL,Design
FIT ,Chiller Plant Master Plan,FIT  Chiller Plant Master Plan,Commissioning
"Foresite Group, Inc",Colorado public safety network,"Foresite Group, Inc Colorado public safety network",Design
"Foresite Group, Inc","Data Center - Pflugerville, TX","Foresite Group, Inc Data Center - Pflugerville, TX",Design
"Foresite Group, Inc","Design Build project in Calhoun, GA","Foresite Group, Inc Design Build project in Calhoun, GA",Design
"Foresite Group, Inc",GA Tech - Ninth Street Corridor ,"Foresite Group, Inc GA Tech - Ninth Street Corridor ",Design
"Foresite Group, Inc",GT - Greenfield Corridor - Pedestrial Lighting Design ,"Foresite Group, Inc GT - Greenfield Corridor - Pedestrial Lighting Design ",Design
Fulton County,Distech lead / partner.  600k sqft build. ,Fulton County Distech lead / partner.  600k sqft build. ,MSI
g5Smart,Smart City,g5Smart Smart City,MSI
Gardiner & Theobald ,Gardiner & Theobald - 123 Williams St. Retro-Cx ,Gardiner & Theobald  Gardiner & Theobald - 123 Williams St. Retro-Cx ,Commissioning
GEMA / GDPS,Office Renovations (Design Build),GEMA / GDPS Office Renovations (Design Build),Design
Georgia Power,Douglasville Facility - Protovision,Georgia Power Douglasville Facility - Protovision,Commissioning
"Foresite Group, Inc",TBD,"Foresite Group, Inc TBD",Design
Grady Health System,ED Renovation/Expansion Commissioning Services,Grady Health System ED Renovation/Expansion Commissioning Services,Commissioning
Great Gulf (First Gulf),TBD,Great Gulf (First Gulf) TBD,Design
GSFIC,Atlanta Two Capitol Square Cx,GSFIC Atlanta Two Capitol Square Cx,Commissioning
GSFIC,CTC Campus Building Renovations Cx,GSFIC CTC Campus Building Renovations Cx,Commissioning
GSFIC,Dalton GA Dept. of Corrections,GSFIC Dalton GA Dept. of Corrections,Design
GSFIC,GA Regents University Cx Services,GSFIC GA Regents University Cx Services,Commissioning
GSFIC,GA Regional Forensic Unit Design,GSFIC GA Regional Forensic Unit Design,Design
GSFIC,Georgia Tech Price Gilbert Library & Crosland Tower Renewal - Building Commissioning,GSFIC Georgia Tech Price Gilbert Library & Crosland Tower Renewal - Building Commissioning,Commissioning
GSFIC,"Gwinnett County Human Resources Bldg CxA - Lawrenceville, GA","GSFIC Gwinnett County Human Resources Bldg CxA - Lawrenceville, GA",Commissioning
GSFIC,Gwinnett Tech Cx ,GSFIC Gwinnett Tech Cx ,Commissioning
GSFIC,Juvenile Justice Pre-Release Center Commissioning ,GSFIC Juvenile Justice Pre-Release Center Commissioning ,Commissioning
GSFIC,Lanier Tech CxA ,GSFIC Lanier Tech CxA ,Commissioning
GSFIC,Middle Georgia Technical College (MGTC) Commissioning,GSFIC Middle Georgia Technical College (MGTC) Commissioning,Commissioning
GSFIC,North GA Tech College Commissioning Services ,GSFIC North GA Tech College Commissioning Services ,Commissioning
GSFIC,Oconee Fall Line Technical College Cx,GSFIC Oconee Fall Line Technical College Cx,Commissioning
GSFIC,Ogeechee Technical College,GSFIC Ogeechee Technical College,Design
GSFIC,UGA Business Learning Community Commissioning,GSFIC UGA Business Learning Community Commissioning,Commissioning
GSFIC,UGA Center for Molecular Medicine Commissioning ,GSFIC UGA Center for Molecular Medicine Commissioning ,Commissioning
GSFIC,UGA Science Learning Center Cx,GSFIC UGA Science Learning Center Cx,Commissioning
GSFIC,UGA Turfgrass Facility Commissioning,GSFIC UGA Turfgrass Facility Commissioning,Commissioning
GSFIC,UWG Biology Building CxA ,GSFIC UWG Biology Building CxA ,Commissioning
GSU,GSU Science Park Building Cx,GSU GSU Science Park Building Cx,Commissioning
GSU,Pettit Building FCA,GSU Pettit Building FCA,Audit
H&M Hennes & Mauritz,& Other Stories HVAC Commissioning - WTC (H&M),H&M Hennes & Mauritz & Other Stories HVAC Commissioning - WTC (H&M),Commissioning
H&M Hennes & Mauritz,Retail Store Renovation Commissioning ,H&M Hennes & Mauritz Retail Store Renovation Commissioning ,Commissioning
H&M Hennes & Mauritz,COS & OS 505 5th Ave Cx,H&M Hennes & Mauritz COS & OS 505 5th Ave Cx,Commissioning
H5 Data Centers,Data Center Fitout,H5 Data Centers Data Center Fitout,Design
H5 Data Centers,345 Courtland - 3rd & 4th Floor builds,H5 Data Centers 345 Courtland - 3rd & 4th Floor builds,Design
Haskell,USCG Woods Hole,Haskell USCG Woods Hole,Commissioning
"Hitt Contracting, Inc",VZW Redmond - TVSS Alarm,"Hitt Contracting, Inc VZW Redmond - TVSS Alarm",MSI
Holder,VZW Alpharetta MSI - REBID to Holder ,Holder VZW Alpharetta MSI - REBID to Holder ,MSI
Honeywell Inc.,Old Bridge School District - RTU Performance Analysis,Honeywell Inc. Old Bridge School District - RTU Performance Analysis,Energy Management
Howell Rusk Dodson Architects,Howell Rusk Dodson Architects,Howell Rusk Dodson Architects Howell Rusk Dodson Architects,Design
Howell Rusk Dodson Architects,TBD,Howell Rusk Dodson Architects TBD,Design
HPCC Controls,Automation Consulting Services,HPCC Controls Automation Consulting Services,MSI
HPCC Controls,Turnkey BAS Services,HPCC Controls Turnkey BAS Services,MSI
"Huntsville, AL Utilities",Hut site surveys (via Foresite),"Huntsville, AL Utilities Hut site surveys (via Foresite)",Design
I/O Anywhere,NJE ECx Project – Data Center Commissioning Services,I/O Anywhere NJE ECx Project – Data Center Commissioning Services,Commissioning
INAP,BMS Troubleshooting,INAP BMS Troubleshooting,Audit
INAP,INAP - LAX014 Expansion Cx,INAP INAP - LAX014 Expansion Cx,Commissioning
INAP,Internap LAX - Controls Review,INAP Internap LAX - Controls Review,MSI
INAP,Phase 3 - Commissioning,INAP Phase 3 - Commissioning,Commissioning
Integral Gude,GWCC – Retro-Commissioning,Integral Gude GWCC – Retro-Commissioning,Commissioning
Intelligent Buildings,IB - FACLAN BAS Network Design and Implementation Project,Intelligent Buildings IB - FACLAN BAS Network Design and Implementation Project,MSI
Intelligent Buildings,IB - Singapore Honeywell Integration Opp,Intelligent Buildings IB - Singapore Honeywell Integration Opp,MSI
Intelligent Buildings,"HQ-1, HQ-2, Concordia buildings - Facility Condition Assessment","Intelligent Buildings HQ-1, HQ-2, Concordia buildings - Facility Condition Assessment",Audit
Intelligent Buildings,"HQ-1, HQ-2, Concordia buildings - Facility Condition Assessment","Intelligent Buildings HQ-1, HQ-2, Concordia buildings - Facility Condition Assessment",MSI
Intelligent Buildings,Mecklenburg County Cx,Intelligent Buildings Mecklenburg County Cx,Commissioning
Internap,ACS BAS Expansion Owner's Rep,Internap ACS BAS Expansion Owner's Rep,"Other (Owner's Rep, Ops Support, etc.)"
Internap,ACS Expansion - Atlanta GA Data Center Cx Services,Internap ACS Expansion - Atlanta GA Data Center Cx Services,Commissioning
Internap,Boston BAS Onsite Support,Internap Boston BAS Onsite Support,MSI
Internap,Boston BAS Support,Internap Boston BAS Support,MSI
Internap,Boston Chiller Plant Controls Upgrade,Internap Boston Chiller Plant Controls Upgrade,MSI
Internap,BSN001 CHW Plant Integration Cx,Internap BSN001 CHW Plant Integration Cx,Commissioning
Internap,BSN003 Chiller Plant Controls Upgrade,Internap BSN003 Chiller Plant Controls Upgrade,MSI
Internap,Dallas BAS Expansion Owner's Rep,Internap Dallas BAS Expansion Owner's Rep,"Other (Owner's Rep, Ops Support, etc.)"
Internap,Plano TX Data Center Cx Services,Internap Plano TX Data Center Cx Services,Commissioning
Internap,"Santa Clara, CA Commissioning Services","Internap Santa Clara, CA Commissioning Services",Commissioning
Internap,Secaucus Phase 2 Commissioning,Internap Secaucus Phase 2 Commissioning,Commissioning
Interxion Deutschland GmbH,AMS 8.1 and 8.2 – Cx Services,Interxion Deutschland GmbH AMS 8.1 and 8.2 – Cx Services,Commissioning
Interxion Deutschland GmbH,Amsterdam (AMS7),Interxion Deutschland GmbH Amsterdam (AMS7),Commissioning
Interxion Deutschland GmbH,DUB3 Data Center ,Interxion Deutschland GmbH DUB3 Data Center ,Commissioning
Interxion Deutschland GmbH,FRA11 Phase 1 & 2 Cx,Interxion Deutschland GmbH FRA11 Phase 1 & 2 Cx,Commissioning
Interxion Deutschland GmbH,FRA12 Cx Services,Interxion Deutschland GmbH FRA12 Cx Services,Commissioning
Interxion Deutschland GmbH,Interxion FRA10 – Phase 3 and 4 – Cx Services ,Interxion Deutschland GmbH Interxion FRA10 – Phase 3 and 4 – Cx Services ,Commissioning
Interxion Deutschland GmbH,VIE 2.7.1 - Cx Services,Interxion Deutschland GmbH VIE 2.7.1 - Cx Services,Commissioning
Interxion Deutschland GmbH,Vienna,Interxion Deutschland GmbH Vienna,Commissioning
Interxion Deutschland GmbH,FRA10 Project – Cx Services,Interxion Deutschland GmbH FRA10 Project – Cx Services,Commissioning
Interxion Deutschland GmbH,"IX MRS1.3 Data Centre Project, Marseille - Cx Svcs","Interxion Deutschland GmbH IX MRS1.3 Data Centre Project, Marseille - Cx Svcs",Commissioning
Interxion Deutschland GmbH,"IX VIE2.6 Data Centre Project, Vienna - Cx Services","Interxion Deutschland GmbH IX VIE2.6 Data Centre Project, Vienna - Cx Services",Commissioning
I/O Anywhere,Morgan Stanley Chiller Plant Seasonal Re-Testing,I/O Anywhere Morgan Stanley Chiller Plant Seasonal Re-Testing,Commissioning
I/O Anywhere,Morgan Stanley Chiller Plant Seasonal Testing,I/O Anywhere Morgan Stanley Chiller Plant Seasonal Testing,Commissioning
"Jamestown, LP",Ponce City - Project Engineering Services - BAS Peer Review ,"Jamestown, LP Ponce City - Project Engineering Services - BAS Peer Review ",MSI
"Jamestown, LP",Ponce City - Project Engineering Services - Owners Rep for Tenant Fitouts,"Jamestown, LP Ponce City - Project Engineering Services - Owners Rep for Tenant Fitouts","Other (Owner's Rep, Ops Support, etc.)"
"Jamestown, LP",Ponce City - Project Engineering Services - Tenant Lease Cost Estimates,"Jamestown, LP Ponce City - Project Engineering Services - Tenant Lease Cost Estimates",Design
JE Dunn,Lunch n Learn on Controls,JE Dunn Lunch n Learn on Controls,MSI
JE Dunn,QTS Metro BMS retrofit support,JE Dunn QTS Metro BMS retrofit support,Commissioning
Jerry L. Johnson & Assoc,Lunch n Learn on Controls,Jerry L. Johnson & Assoc Lunch n Learn on Controls,MSI
Jerry L. Johnson & Assoc,SEAL expansion,Jerry L. Johnson & Assoc SEAL expansion,Design
Jerry L. Johnson & Assoc,TBD,Jerry L. Johnson & Assoc TBD,Design
Jerry L. Johnson & Assoc,Verizon CRAN,Jerry L. Johnson & Assoc Verizon CRAN,Design
JLL,Arc Flash and Coordination Study,JLL Arc Flash and Coordination Study,Specialty Services
JLL,Empire State Building - Electrical Advisory Board Package Development,JLL Empire State Building - Electrical Advisory Board Package Development,Design
JLL,Empire State Building – Jockey Chiller Commissioning,JLL Empire State Building – Jockey Chiller Commissioning,Commissioning
JLL,Empire State Building - Lobby AHU Cx,JLL Empire State Building - Lobby AHU Cx,Commissioning
JLL,Empire State Building - Lower Level Switchgear Room HVAC Cx,JLL Empire State Building - Lower Level Switchgear Room HVAC Cx,Commissioning
JLL,Empire State Building ATS Cx,JLL Empire State Building ATS Cx,Commissioning
JLL,Empire State Building Condenser Water Flow Measurement,JLL Empire State Building Condenser Water Flow Measurement,Design / Commissioning
JLL,"Empire State Building Electrical Testing Services NY, NY","JLL Empire State Building Electrical Testing Services NY, NY",Commissioning
JLL,Empire State Building Observatory Level UPS Cx,JLL Empire State Building Observatory Level UPS Cx,Commissioning
"JMN Consulting Engineers, PLLC",Rocklin II Shed Relocation and Upgrade,"JMN Consulting Engineers, PLLC Rocklin II Shed Relocation and Upgrade",Design
Jones Lang LaSalle Americas Inc,Empire State Building – BMS Automation Consulting Services,Jones Lang LaSalle Americas Inc Empire State Building – BMS Automation Consulting Services,MSI
Jones Lang LaSalle Americas Inc,Empire State Building - Observatory Upgrade Project,Jones Lang LaSalle Americas Inc Empire State Building - Observatory Upgrade Project,Commissioning
JP Morgan Chase,270 Park Avenue - Commissioning Scripts,JP Morgan Chase 270 Park Avenue - Commissioning Scripts,Commissioning
JP Morgan Chase,"Commissioning opp revival - Denver, CO & Orangeburg, NJ","JP Morgan Chase Commissioning opp revival - Denver, CO & Orangeburg, NJ",Design / Commissioning
JP Morgan Chase,JP Morgan Chase – Sycamore Data Center Cx Qualifications Package,JP Morgan Chase JP Morgan Chase – Sycamore Data Center Cx Qualifications Package,Commissioning
JPA,Delta opportunity,JPA Delta opportunity,Design
JPA,Lunch n Learn on Controls,JPA Lunch n Learn on Controls,MSI
JP Morgan Chase,Project Sycamore Cx Services,JP Morgan Chase Project Sycamore Cx Services,Commissioning
Katonah Lewisboro School District,GUI Development,Katonah Lewisboro School District GUI Development,MSI
Kelvion,TBD,Kelvion TBD,Design
"Kingsbridge Associates, LLC",River Plaza Retail Building K1 Retro-Commissioning ,"Kingsbridge Associates, LLC River Plaza Retail Building K1 Retro-Commissioning ",Commissioning
KNL Gates,Tara Clancy - Doug Rindell referral,KNL Gates Tara Clancy - Doug Rindell referral,Design
KSi Structural,TBD,KSi Structural TBD,Design
LC Associates,River Bay Co-Op LL87 Retro Cx,LC Associates River Bay Co-Op LL87 Retro Cx,Commissioning
Lenape Regional High School District,Lenape Regional High School District Energy Review and Verif.,Lenape Regional High School District Lenape Regional High School District Energy Review and Verif.,Audit
Level 3,111 8th Street Phase 2 Electrical Upgrades Cx,Level 3 111 8th Street Phase 2 Electrical Upgrades Cx,Commissioning
Level 3,180 Peachtree Atlanta - Chiller Replacement Cx,Level 3 180 Peachtree Atlanta - Chiller Replacement Cx,Commissioning
Level 3,1850 Pearl St - Electrical Upgrade,Level 3 1850 Pearl St - Electrical Upgrade,Design / Commissioning
Level 3,524 Van Buren Cx,Level 3 524 Van Buren Cx,Commissioning
Level 3,Ashburn Cx,Level 3 Ashburn Cx,Commissioning
Level 3,Cavendish VT Generator and ATS Design,Level 3 Cavendish VT Generator and ATS Design,Design
Level 3,Cleveland Electrical Re-Cx,Level 3 Cleveland Electrical Re-Cx,Commissioning
Level 3,Cooling Assessment,Level 3 Cooling Assessment,Audit
Level 3,Critical Systems Retro-Cx,Level 3 Critical Systems Retro-Cx,Commissioning
Level 3,Electrical Infrastructure Cx,Level 3 Electrical Infrastructure Cx,Commissioning
Level 3,"Kansas City, MO HVAC System Heat Rejection Issues","Level 3 Kansas City, MO HVAC System Heat Rejection Issues",Design
Level 3,Phase 2 Electrical Upgrades Cx,Level 3 Phase 2 Electrical Upgrades Cx,Commissioning
Litbit,Scott Notebook CxA Search,Litbit Scott Notebook CxA Search,Commissioning
Lockheed Martin,IRS ESPC IDIQ,Lockheed Martin IRS ESPC IDIQ,Commissioning
Logan Pass Construction,VZW Aurora DC Power Plant Expansion BAS,Logan Pass Construction VZW Aurora DC Power Plant Expansion BAS,MSI
Lower Cape May Regional School District,Third Party ECM Verification,Lower Cape May Regional School District Third Party ECM Verification,Commissioning
Macerich Company,Burlington Coat at Kings Plaza HVAC Cx,Macerich Company Burlington Coat at Kings Plaza HVAC Cx,Commissioning
Macgregor Associates Architects,Atlanta DC Client,Macgregor Associates Architects Atlanta DC Client,Design
Madison Communications,Level 3 Structural Review & Design (Atlanta),Madison Communications Level 3 Structural Review & Design (Atlanta),Design
Madison Electric,"Level 3 Tustin, CA Cx ","Madison Electric Level 3 Tustin, CA Cx ",Commissioning
Mann Mechanical,Crowne Plaza Exhaust Investigation,Mann Mechanical Crowne Plaza Exhaust Investigation,Audit
Mark G. Anderson Consultants,HPCC Controls - Automation Consulting Services,Mark G. Anderson Consultants HPCC Controls - Automation Consulting Services,MSI
Mark G. Anderson Consultants,HPCC Controls - Turnkey BAS Services,Mark G. Anderson Consultants HPCC Controls - Turnkey BAS Services,MSI
McShane Realty Partners,McShane Realty - bEQ Assessment,McShane Realty Partners McShane Realty - bEQ Assessment,Audit
Meadows & Ohly ,Medical Practice Building Addition ,Meadows & Ohly  Medical Practice Building Addition ,Design
Microsoft,Design and Cx Expansion,Microsoft Design and Cx Expansion,Design / Commissioning
Microsoft,Microsoft Qual Package,Microsoft Microsoft Qual Package,Design / Commissioning
Middlesex County College,Middlesex CC Center for Student Services and Academic Science Building (South Hall) ,Middlesex County College Middlesex CC Center for Student Services and Academic Science Building (South Hall) ,Commissioning
Mingledorffs,GBA lead sourcing,Mingledorffs GBA lead sourcing,Design
Morehouse College,Brazeal and Nabrit - HVAC Modifications,Morehouse College Brazeal and Nabrit - HVAC Modifications,Design
Morehouse College, Brazeal Hall - HVAC Assessment,Morehouse College  Brazeal Hall - HVAC Assessment,Audit
Morehouse College,Brazeal design,Morehouse College Brazeal design,Design
Morehouse College,Nabrit design Phase 1,Morehouse College Nabrit design Phase 1,Design
Morehouse College,Nabrit design Phase 2,Morehouse College Nabrit design Phase 2,Design
Morehouse College,Nabrit Hall - HVAC Assessment,Morehouse College Nabrit Hall - HVAC Assessment,Audit
Morgan Stanley,522 5th Avenue Retail Commissioning,Morgan Stanley 522 5th Avenue Retail Commissioning,Commissioning
Morgan Stanley,Piscataway and Somerset Data Center POD Cx,Morgan Stanley Piscataway and Somerset Data Center POD Cx,Commissioning
Next Tier HD,HPCC - Commissioning,Next Tier HD HPCC - Commissioning,Commissioning
Next Tier HD,HPCC Controls,Next Tier HD HPCC Controls,Design / Commissioning
Next Tier HD,Tower Controls,Next Tier HD Tower Controls,Design / Commissioning
Next Tier HD,BRIC - BAS Gap Analysis,Next Tier HD BRIC - BAS Gap Analysis,MSI
State of NJ - Division of Property Management & Construction,Juvenile Justice Commission - Contract X0168-00 - Multidiscipline Engineering,State of NJ - Division of Property Management & Construction Juvenile Justice Commission - Contract X0168-00 - Multidiscipline Engineering,Design
NJ Institute of Technology ,NJIT New Wellness and Event Center Commissioning,NJ Institute of Technology  NJIT New Wellness and Event Center Commissioning,Commissioning
NJDOT,DPMC - M&V,NJDOT DPMC - M&V,Annuity Services
NJSDA & Grayhawk Const.,Commissioning Authority for New Elizabeth Academic High School,NJSDA & Grayhawk Const. Commissioning Authority for New Elizabeth Academic High School,Commissioning
NY State Insurance Fund,NY State Insurance Fund Commissioning Services,NY State Insurance Fund NY State Insurance Fund Commissioning Services,Commissioning
NYCDDC,RFP - various Cx projects,NYCDDC RFP - various Cx projects,Commissioning
NYCHA,NYCHA,NYCHA NYCHA,MSI
NYSUCF,NY State University Construction Fund,NYSUCF NY State University Construction Fund,MSI
Ocean County College,MCx Services,Ocean County College MCx Services,Commissioning
Oglethorpe,Power IEQ Calcs,Oglethorpe Power IEQ Calcs,Audit
Township of Old Bridge,Measurement & Verification for ECMs for Energy Audit ,Township of Old Bridge Measurement & Verification for ECMs for Energy Audit ,Annuity Services
Oracle,Data Centers - Location and time TBD,Oracle Data Centers - Location and time TBD,Design / Commissioning
Orr Protection Services,TBD,Orr Protection Services TBD,Design
Point Pleasant School District,Point Pleasant School District,Point Pleasant School District Point Pleasant School District,Commissioning
Quality Technology Services,Ashburn VA - BMS Assessment (IAD2),Quality Technology Services Ashburn VA - BMS Assessment (IAD2),MSI
Quality Technology Services,Atlanta Metro - Greenfield Cx (Design & Pre-Construction),Quality Technology Services Atlanta Metro - Greenfield Cx (Design & Pre-Construction),Design
